symbol,event_type,ex_date,record_date,pay_date,ratio,cash_amount
ABT,dividend,2003-07-11,,,,0.109981
ABT,dividend,2003-10-10,,,,0.109981
ABT,dividend,2004-01-13,,,,0.109981
ABT,dividend,2004-04-13,,,,0.116714
ABT,dividend,2004-05-03,,,,1.36551
ABT,dividend,2004-07-13,,,,0.124748
ABT,dividend,2004-10-13,,,,0.124748
ABT,dividend,2005-01-12,,,,0.124748
ABT,dividend,2005-04-13,,,,0.131945
ABT,dividend,2005-07-13,,,,0.131945
ABT,dividend,2005-10-12,,,,0.131945
ABT,dividend,2006-01-11,,,,0.131945
ABT,dividend,2006-04-11,,,,0.141541
ABT,dividend,2006-07-12,,,,0.141541
ABT,dividend,2006-10-11,,,,0.141541
ABT,dividend,2007-01-10,,,,0.141541
ABT,dividend,2007-04-11,,,,0.155935
ABT,dividend,2007-07-11,,,,0.155935
ABT,dividend,2007-10-11,,,,0.155935
ABT,dividend,2008-01-11,,,,0.155935
ABT,dividend,2008-04-11,,,,0.172728
ABT,dividend,2008-07-11,,,,0.172728
ABT,dividend,2008-10-10,,,,0.172728
ABT,dividend,2009-01-13,,,,0.172728
ABT,dividend,2009-04-13,,,,0.19192
ABT,dividend,2009-07-13,,,,0.19192
ABT,dividend,2009-10-13,,,,0.19192
ABT,dividend,2010-01-13,,,,0.19192
ABT,dividend,2010-04-13,,,,0.211112
ABT,dividend,2010-07-13,,,,0.211112
ABT,dividend,2010-10-13,,,,0.211112
ABT,dividend,2011-01-12,,,,0.211112
ABT,dividend,2011-04-13,,,,0.230304
ABT,dividend,2011-07-13,,,,0.230304
ABT,dividend,2011-10-12,,,,0.230304
ABT,dividend,2012-01-11,,,,0.230304
ABT,dividend,2012-04-11,,,,0.244698
ABT,dividend,2012-07-11,,,,0.244698
ABT,dividend,2012-10-11,,,,0.244698
ABT,dividend,2013-01-11,,,,0.14
ABT,dividend,2013-04-11,,,,0.14
ABT,dividend,2013-07-11,,,,0.14
ABT,dividend,2013-10-10,,,,0.14
ABT,dividend,2014-01-13,,,,0.22
ABT,dividend,2014-04-11,,,,0.22
ABT,dividend,2014-07-11,,,,0.22
ABT,dividend,2014-10-10,,,,0.22
ABT,dividend,2015-01-13,,,,0.24
ABT,dividend,2015-04-13,,,,0.24
ABT,dividend,2015-07-13,,,,0.24
ABT,dividend,2015-10-13,,,,0.24
ABT,dividend,2016-01-13,,,,0.26
ABT,dividend,2016-04-13,,,,0.26
ABT,dividend,2016-07-13,,,,0.26
ABT,dividend,2016-10-12,,,,0.26
ABT,dividend,2017-01-11,,,,0.265
ABT,dividend,2017-04-11,,,,0.265
ABT,dividend,2017-07-12,,,,0.265
ABT,dividend,2017-10-12,,,,0.265
ABT,dividend,2018-01-11,,,,0.28
ABT,dividend,2018-04-12,,,,0.28
ABT,dividend,2018-07-12,,,,0.28
ABT,dividend,2018-10-12,,,,0.28
ABT,dividend,2019-01-14,,,,0.32
ABT,dividend,2019-04-12,,,,0.32
ABT,dividend,2019-07-12,,,,0.32
ABT,dividend,2019-10-11,,,,0.32
ABT,dividend,2020-01-14,,,,0.36
ABT,dividend,2020-04-14,,,,0.36
ABT,dividend,2020-07-14,,,,0.36
ABT,dividend,2020-10-14,,,,0.36
ABT,dividend,2021-01-14,,,,0.45
ABT,dividend,2021-04-14,,,,0.45
ABT,dividend,2021-07-14,,,,0.45
ABT,dividend,2021-10-14,,,,0.45
ABT,dividend,2022-01-13,,,,0.47
ABT,dividend,2022-04-13,,,,0.47
ABT,dividend,2022-07-14,,,,0.47
ABT,dividend,2022-10-13,,,,0.47
ABT,dividend,2023-01-12,,,,0.51
ABT,dividend,2023-04-13,,,,0.51
ABT,dividend,2023-07-13,,,,0.51
ABT,dividend,2023-10-12,,,,0.51
ABT,dividend,2024-01-11,,,,0.55
ABT,dividend,2024-04-12,,,,0.55
ABT,dividend,2024-07-15,,,,0.55
ABT,dividend,2024-10-15,,,,0.55
ABT,dividend,2025-01-15,,,,0.59
ABT,dividend,2025-04-15,,,,0.59
ABT,dividend,2025-07-15,,,,0.59
ABT,split,1981-06-01,,,2.0,
ABT,split,1986-06-02,,,2.0,
ABT,split,1990-06-01,,,2.0,
ABT,split,1992-06-01,,,2.0,
ABT,split,1998-06-01,,,2.0,
ABT,split,2004-05-03,,,1.0688328345446771,
ABT,split,2013-01-02,,,2.084201750729471,
ABBV,dividend,2013-01-11,,,,0.4
ABBV,dividend,2013-04-11,,,,0.4
ABBV,dividend,2013-07-11,,,,0.4
ABBV,dividend,2013-10-10,,,,0.4
